id,displayName,biome,category,completionType,prefabName,globalKey
item.armorflametalchest,Flametal Breastplate,Ashlands,Armor,ItemCollected,ArmorFlametalChest,
item.armorflametallegs,Flametal Greaves,Ashlands,Armor,ItemCollected,ArmorFlametalLegs,
item.armorharvester1,Harvest Tunic,Global,Hildir,ItemCollected,ArmorHarvester1,
item.armorharvester2,Harvest Dress,Global,Hildir,ItemCollected,ArmorHarvester2,
item.armorironchest,Iron Scale Mail,Swamp,Armor,ItemCollected,ArmorIronChest,
item.armorironlegs,Iron Greaves,Swamp,Armor,ItemCollected,ArmorIronLegs,
item.armorleatherchest,Leather Tunic,Meadows,Armor,ItemCollected,ArmorLeatherChest,
item.armorleatherlegs,Leather Trousers,Meadows,Armor,ItemCollected,ArmorLeatherLegs,
item.armormagechest,Eitr-weave Robe,Mistlands,Armor,ItemCollected,ArmorMageChest,
item.armormagechest_ashlands,Robes of Embla,Ashlands,Armor,ItemCollected,ArmorMageChest_Ashlands,
item.armormagelegs,Eitr-weave Trousers,Mistlands,Armor,ItemCollected,ArmorMageLegs,
item.armormagelegs_ashlands,Trousers of Embla,Ashlands,Armor,ItemCollected,ArmorMageLegs_Ashlands,
item.armorpaddedcuirass,Padded Cuirass,Plains,Armor,ItemCollected,ArmorPaddedCuirass,
item.armorpaddedgreaves,Padded Greaves,Plains,Armor,ItemCollected,ArmorPaddedGreaves,
item.armorragschest,Rag Tunic,Meadows,Armor,ItemCollected,ArmorRagsChest,
item.armorragslegs,Rag Trousers,Meadows,Armor,ItemCollected,ArmorRagsLegs,
item.armorrootchest,Root Harnesk,Swamp,Armor,ItemCollected,ArmorRootChest,
item.armorrootlegs,Root Leggings,Swamp,Armor,ItemCollected,ArmorRootLegs,
item.armortrollleatherchest,Troll Leather Tunic,BlackForest,Armor,ItemCollected,ArmorTrollLeatherChest,
item.armortrollleatherlegs,Troll Leather Trousers,BlackForest,Armor,ItemCollected,ArmorTrollLeatherLegs,
item.armortunic1,Plain Blue Tunic,Global,Hildir,ItemCollected,ArmorTunic1,
item.armortunic10,Simple Undyed Tunic,Global,Hildir,ItemCollected,ArmorTunic10,
item.armortunic2,Blue Tunic with Cape,Global,Hildir,ItemCollected,ArmorTunic2,
item.armortunic3,Blue Tunic with Beads,Global,Hildir,ItemCollected,ArmorTunic3,
item.armortunic4,Plain Red Tunic,Global,Hildir,ItemCollected,ArmorTunic4,
item.armortunic5,Red Tunic with Cape,Global,Hildir,ItemCollected,ArmorTunic5,
item.armortunic6,Red Tunic with Beads,Global,Hildir,ItemCollected,ArmorTunic6,
item.armortunic7,Plain Yellow Tunic,Global,Hildir,ItemCollected,ArmorTunic7,
item.armortunic8,Yellow Tunic with Cape,Global,Hildir,ItemCollected,ArmorTunic8,
item.armortunic9,Yellow Tunic with Beads,Global,Hildir,ItemCollected,ArmorTunic9,
item.armorwolfchest,Wolf Hide Chestpiece,Mountain,Armor,ItemCollected,ArmorWolfChest,
item.armorwolflegs,Wolf Hide Trousers,Mountain,Armor,ItemCollected,ArmorWolfLegs,
item.arrowbronze,Bronzehead Arrow,BlackForest,Weapons,ItemCollected,ArrowBronze,
item.arrowcarapace,Carapace Arrow,Mistlands,Weapons,ItemCollected,ArrowCarapace,
item.arrowcharred,Charred Arrow,Ashlands,Weapons,ItemCollected,ArrowCharred,
item.arrowfire,Fire Arrow,Meadows,Weapons,ItemCollected,ArrowFire,
item.arrowflint,Flinthead Arrow,Meadows,Weapons,ItemCollected,ArrowFlint,
item.arrowfrost,Frost Arrow,Mountain,Weapons,ItemCollected,ArrowFrost,
item.arrowiron,Ironhead Arrow,Swamp,Weapons,ItemCollected,ArrowIron,
item.arrowneedle,Needle Arrow,Plains,Weapons,ItemCollected,ArrowNeedle,
item.arrowobsidian,Obsidian Arrow,Mountain,Weapons,ItemCollected,ArrowObsidian,
item.arrowpoison,Poison Arrow,Mountain,Weapons,ItemCollected,ArrowPoison,
item.arrowsilver,Silver Arrow,Mountain,Weapons,ItemCollected,ArrowSilver,
item.arrowwood,Wood Arrow,Meadows,Weapons,ItemCollected,ArrowWood,
item.askbladder,Asksvin Bladder,Ashlands,Materials,ItemCollected,AskBladder,
item.askhide,Asksvin Hide,Ashlands,Materials,ItemCollected,AskHide,
item.asksvincarrionneck,Asksvin Neck,Ashlands,Materials,ItemCollected,AsksvinCarrionNeck,
item.asksvincarrionpelvic,Asksvin Pelvis,Ashlands,Materials,ItemCollected,AsksvinCarrionPelvic,
item.asksvincarrionribcage,Asksvin Ribcage,Ashlands,Materials,ItemCollected,AsksvinCarrionRibcage,
item.asksvincarrionskull,Asksvin Skull,Ashlands,Materials,ItemCollected,AsksvinCarrionSkull,
item.asksvinegg,Asksvin Egg,Ashlands,Items,ItemCollected,AsksvinEgg,
item.asksvinmeat,Asksvin Tail,Ashlands,Materials,ItemCollected,AsksvinMeat,
item.atgeirblackmetal,Black Metal Atgeir,Plains,Weapons,ItemCollected,AtgeirBlackmetal,
item.atgeirbronze,Bronze Atgeir,BlackForest,Weapons,ItemCollected,AtgeirBronze,
item.atgeirhimminafl,Himminafl,Mistlands,Weapons,ItemCollected,AtgeirHimminAfl,
item.atgeiriron,Iron Atgeir,Swamp,Weapons,ItemCollected,AtgeirIron,
item.atgeirwood,Wooden Atgeir,Global,Weapons,ItemCollected,AtgeirWood,
item.axeberzerkr,Berserkir Axes,Ashlands,Weapons,ItemCollected,AxeBerzerkr,
item.axeberzerkrblood,Bleeding Berserkir Axes,Ashlands,Weapons,ItemCollected,AxeBerzerkrBlood,
item.axeberzerkrlightning,Thundering Berserkir Axes,Ashlands,Weapons,ItemCollected,AxeBerzerkrLightning,
item.axeberzerkrnature,Primal Berserkir Axes,Ashlands,Weapons,ItemCollected,AxeBerzerkrNature,
item.axeblackmetal,Black Metal Axe,Plains,Weapons,ItemCollected,AxeBlackMetal,
item.axebronze,Bronze Axe,BlackForest,Weapons,ItemCollected,AxeBronze,
item.axeearly,Early Axes,Meadows,Weapons,ItemCollected,AxeEarly,
item.axeflint,Flint Axe,Meadows,Weapons,ItemCollected,AxeFlint,
item.axehead1,Curious Axe Head,Meadows,Materials,ItemCollected,AxeHead1,
item.axehead2,Mysterious Axe Head,Meadows,Materials,ItemCollected,AxeHead2,
item.axeiron,Iron Axe,Swamp,Weapons,ItemCollected,AxeIron,
item.axejotunbane,Jotun Bane,Mistlands,Weapons,ItemCollected,AxeJotunBane,
item.axestone,Stone Axe,Meadows,Weapons,ItemCollected,AxeStone,
item.axewood,Wooden Axe,Global,Weapons,ItemCollected,AxeWood,
item.barberkit,Barber Kit,Global,Hildir,ItemCollected,BarberKit,
item.barley,Barley,Plains,Materials,ItemCollected,Barley,
item.barleyflour,Barley Flour,Plains,Items,ItemCollected,BarleyFlour,
item.barleywine,Fire Resistance Barley Wine,Plains,Food,ItemCollected,BarleyWine,
item.barleywinebase,Barley Wine Base: Fire Resistance,Plains,Materials,ItemCollected,BarleyWineBase,
item.barrelrings,Barrel Hoops,BlackForest,Haldor,ItemCollected,BarrelRings,
item.battleaxe,Battleaxe,Swamp,Weapons,ItemCollected,Battleaxe,
item.battleaxeblackmetal,Black Metal Battleaxe,Plains,Weapons,ItemCollected,BattleaxeBlackmetal,
item.battleaxecrystal,Crystal Battleaxe,Mountain,Weapons,ItemCollected,BattleaxeCrystal,
item.battleaxeskullsplittur,Skull Splittur,Mistlands,Weapons,ItemCollected,BattleaxeSkullSplittur,
item.battleaxewood,Wooden Battleaxe,Global,Weapons,ItemCollected,BattleaxeWood,
item.beechseeds,Beech Seeds,Meadows,Materials,ItemCollected,BeechSeeds,
item.bell,Bell,Mistlands,Items,ItemCollected,Bell,
item.bellfragment,Bell Fragment,Ashlands,Materials,ItemCollected,BellFragment,
item.beltstrength,Megingjord,BlackForest,Haldor,ItemCollected,BeltStrength,
item.bilebag,Bilebag,Mistlands,Materials,ItemCollected,Bilebag,
item.birchseeds,Birch Seeds,BlackForest,Materials,ItemCollected,BirchSeeds,
item.bjornhide,Bear Hide,BlackForest,Materials,ItemCollected,BjornHide,
item.bjornmeat,Bear Meat,BlackForest,Materials,ItemCollected,BjornMeat,
item.bjornpaw,Bear Paw,BlackForest,Materials,ItemCollected,BjornPaw,
item.blackcore,Black Core,Mistlands,Materials,ItemCollected,BlackCore,
item.blackmarble,Black Marble,Mistlands,Materials,ItemCollected,BlackMarble,
item.blackmetal,Black Metal,Plains,Materials,ItemCollected,BlackMetal,
item.blackmetalscrap,Black Metal Scrap,Plains,Materials,ItemCollected,BlackMetalScrap,
item.blacksoup,Black Soup,Swamp,Food,ItemCollected,BlackSoup,
item.blackwood,Ashwood,Ashlands,Materials,ItemCollected,Blackwood,
item.blobvial,Corked Vial,Swamp,BogWitch,ItemCollected,BlobVial,
item.bloodbag,Bloodbag,Swamp,Materials,ItemCollected,Bloodbag,
item.bloodpudding,Blood Pudding,Plains,Food,ItemCollected,BloodPudding,
item.blueberries,Blueberries,BlackForest,Food,ItemCollected,Blueberries,
item.boarjerky,Boar Jerky,BlackForest,Food,ItemCollected,BoarJerky,
item.boltblackmetal,Black Metal Bolt,Plains,Weapons,ItemCollected,BoltBlackmetal,
item.boltbone,Bone Bolt,Mistlands,Weapons,ItemCollected,BoltBone,
item.boltcarapace,Carapace Bolt,Mistlands,Weapons,ItemCollected,BoltCarapace,
item.boltcharred,Charred Bolt,Ashlands,Weapons,ItemCollected,BoltCharred,
item.boltiron,Iron Bolt,Swamp,Weapons,ItemCollected,BoltIron,
item.bombbile,Bile Bomb,Mistlands,Weapons,ItemCollected,BombBile,
item.bombblob_frost,Blob Bomb: Frost,Mountain,Weapons,ItemCollected,BombBlob_Frost,
item.bombblob_lava,Blob Bomb: Lava,Ashlands,Weapons,ItemCollected,BombBlob_Lava,
item.bombblob_poison,Blob Bomb: Poison,Swamp,Weapons,ItemCollected,BombBlob_Poison,
item.bombblob_poisonelite,Blob Bomb: Elite Poison,Swamp,Weapons,ItemCollected,BombBlob_PoisonElite,
item.bombblob_tar,Blob Bomb: Tar,Plains,Weapons,ItemCollected,BombBlob_Tar,
item.bomblava,Basalt Bomb,Ashlands,Weapons,ItemCollected,BombLava,
item.bombooze,Ooze Bomb,Swamp,Weapons,ItemCollected,BombOoze,
item.bombsiege,Explosive Payload,Ashlands,Materials,ItemCollected,BombSiege,
item.bombsmoke,Smoke Bomb,Ashlands,Weapons,ItemCollected,BombSmoke,
item.bonefragments,Bone Fragments,Meadows,Materials,ItemCollected,BoneFragments,
item.bonemawserpentmeat,Bonemaw Meat,Ashlands,Materials,ItemCollected,BoneMawSerpentMeat,
item.bonemawserpentscale,Bonemaw Scale,Ashlands,Materials,ItemCollected,BonemawSerpentScale,
item.bonemawserpenttooth,Bonemaw Tooth,Ashlands,Materials,ItemCollected,BonemawSerpentTooth,
item.bow,Crude Bow,Meadows,Weapons,ItemCollected,Bow,
item.bowashlands,Ash Fang,Ashlands,Weapons,ItemCollected,BowAshlands,
item.bowashlandsblood,Blood Fang,Ashlands,Weapons,ItemCollected,BowAshlandsBlood,
item.bowashlandsroot,Root Fang,Ashlands,Weapons,ItemCollected,BowAshlandsRoot,
item.bowashlandsstorm,Storm Fang,Ashlands,Weapons,ItemCollected,BowAshlandsStorm,
item.bowdraugrfang,Draugr Fang,Swamp,Weapons,ItemCollected,BowDraugrFang,
item.bowfinewood,Finewood Bow,BlackForest,Weapons,ItemCollected,BowFineWood,
item.bowhuntsman,Huntsman Bow,Swamp,Weapons,ItemCollected,BowHuntsman,
item.bowspinesnap,Spinesnap,Mistlands,Weapons,ItemCollected,BowSpineSnap,
item.bread,Bread,Plains,Food,ItemCollected,Bread,
item.breaddough,Bread Dough,Plains,Materials,ItemCollected,BreadDough,
item.bronze,Bronze,BlackForest,Materials,ItemCollected,Bronze,
item.bronzenails,Bronze Nails,BlackForest,Materials,ItemCollected,BronzeNails,
item.bronzescrap,Bronze Scrap,Mistlands,Materials,ItemCollected,BronzeScrap,
item.bugmeat,Seeker Meat,Mistlands,Materials,ItemCollected,BugMeat,
item.candlewick,Candle Wick,Swamp,BogWitch,ItemCollected,CandleWick,
item.capeash,Ashen Cape,Ashlands,Armor,ItemCollected,CapeAsh,
item.capeasksvin,Asksvin Cloak,Ashlands,Armor,ItemCollected,CapeAsksvin,
item.capedeerhide,Deer Hide Cape,Meadows,Armor,ItemCollected,CapeDeerHide,
item.capefeather,Feather Cape,Mistlands,Armor,ItemCollected,CapeFeather,
item.capelinen,Linen Cape,Plains,Armor,ItemCollected,CapeLinen,
item.capelox,Lox Cape,Plains,Armor,ItemCollected,CapeLox,
item.capetrollhide,Troll Hide Cape,BlackForest,Armor,ItemCollected,CapeTrollHide,
item.capewolf,Wolf Fur Cape,Mountain,Armor,ItemCollected,CapeWolf,
item.carapace,Carapace,Mistlands,Materials,ItemCollected,Carapace,
item.carrot,Carrot,BlackForest,Food,ItemCollected,Carrot,
item.carrotseeds,Carrot Seeds,BlackForest,Materials,ItemCollected,CarrotSeeds,
item.carrotsoup,Carrot Soup,BlackForest,Food,ItemCollected,CarrotSoup,
item.catapult_ammo,Grausten Payload,Ashlands,Materials,ItemCollected,Catapult_ammo,
item.celestialfeather,Celestial Feather,Ashlands,Materials,ItemCollected,CelestialFeather,
item.ceramicplate,Ceramic Plate,Ashlands,Materials,ItemCollected,CeramicPlate,
item.chain,Chain,Swamp,Materials,ItemCollected,Chain,
item.charcoalresin,Charcoal Resin,Ashlands,Materials,ItemCollected,CharcoalResin,
item.charredbone,Charred Bone,Ashlands,Materials,ItemCollected,CharredBone,
item.charredcogwheel,Charred Cogwheel,Ashlands,Materials,ItemCollected,CharredCogwheel,
item.charredskull,Charred Skull,Ashlands,Materials,ItemCollected,Charredskull,
item.chickenegg,Egg,Mistlands,Haldor,ItemCollected,ChickenEgg,
item.chickenmeat,Chicken Meat,Mistlands,Materials,ItemCollected,ChickenMeat,
item.chitin,Chitin,Ocean,Materials,ItemCollected,Chitin,
item.cloudberry,Cloudberries,Plains,Food,ItemCollected,Cloudberry,
item.club,Club,Meadows,Weapons,ItemCollected,Club,
item.coal,Coal,Global,Materials,ItemCollected,Coal,
item.coins,Coins,Global,Materials,ItemCollected,Coins,
item.cookedasksvinmeat,Cooked Asksvin Tail,Ashlands,Food,ItemCollected,CookedAsksvinMeat,
item.cookedbjornmeat,Cooked Bear Meat,BlackForest,Food,ItemCollected,CookedBjornMeat,
item.cookedbonemawserpentmeat,Cooked Bonemaw Meat,Ashlands,Food,ItemCollected,CookedBoneMawSerpentMeat,
item.cookedbugmeat,Cooked Seeker Meat,Mistlands,Food,ItemCollected,CookedBugMeat,
item.cookedchickenmeat,Cooked Chicken Meat,Mistlands,Food,ItemCollected,CookedChickenMeat,
item.cookeddeermeat,Cooked Deer Meat,Meadows,Food,ItemCollected,CookedDeerMeat,
item.cookedegg,Cooked Egg,Mistlands,Food,ItemCollected,CookedEgg,
item.cookedharemeat,Cooked Hare Meat,Mistlands,Food,ItemCollected,CookedHareMeat,
item.cookedloxmeat,Cooked Lox Meat,Plains,Food,ItemCollected,CookedLoxMeat,
item.cookedmeat,Cooked Boar Meat,Meadows,Food,ItemCollected,CookedMeat,
item.cookedvolturemeat,Cooked Volture Meat,Ashlands,Food,ItemCollected,CookedVoltureMeat,
item.cookedwolfmeat,Cooked Wolf Meat,Mountain,Food,ItemCollected,CookedWolfMeat,
item.copper,Copper,BlackForest,Materials,ItemCollected,Copper,
item.copperore,Copper Ore,BlackForest,Materials,ItemCollected,CopperOre,
item.copperscrap,Copper Scrap,Mistlands,Materials,ItemCollected,CopperScrap,
item.crossbowarbalest,Arbalest,Mistlands,Weapons,ItemCollected,CrossbowArbalest,
item.crossbowripper,Ripper,Ashlands,Weapons,ItemCollected,CrossbowRipper,
item.crossbowripperblood,Wound Ripper,Ashlands,Weapons,ItemCollected,CrossbowRipperBlood,
item.crossbowripperlightning,Storm Ripper,Ashlands,Weapons,ItemCollected,CrossbowRipperLightning,
item.crossbowrippernature,Root Ripper,Ashlands,Weapons,ItemCollected,CrossbowRipperNature,
item.cryptkey,Swamp Key,Swamp,Items,ItemCollected,CryptKey,
item.crystal,Crystal,Mountain,Materials,ItemCollected,Crystal,
item.cultivator,Cultivator,BlackForest,Tools,ItemCollected,Cultivator,
item.curedsquirrelhamstring,Cured Squirrel Hamstring,Swamp,BogWitch,ItemCollected,CuredSquirrelHamstring,
item.dandelion,Dandelion,Meadows,Materials,ItemCollected,Dandelion,
item.deerhide,Deer Hide,Meadows,Materials,ItemCollected,DeerHide,
item.deermeat,Deer Meat,Meadows,Materials,ItemCollected,DeerMeat,
item.deerstew,Deer Stew,BlackForest,Food,ItemCollected,DeerStew,
item.demister,Wisplight,Mistlands,Tools,ItemCollected,Demister,
item.dragonegg,Dragon Egg,Mountain,Items,ItemCollected,DragonEgg,
item.dragontear,Dragon Tear,Mountain,Items,ItemCollected,DragonTear,
item.dvergrkey,Sealbreaker,Mistlands,Items,ItemCollected,DvergrKey,
item.dvergrkeyfragment,Sealbreaker Fragment,Mistlands,Materials,ItemCollected,DvergrKeyFragment,
item.dvergrneedle,Dvergr Extractor,Mistlands,Materials,ItemCollected,DvergrNeedle,
item.dyrnwynbladefragment,Dyrnwyn Blade Fragment,Ashlands,Materials,ItemCollected,DyrnwynBladeFragment,
item.dyrnwynhiltfragment,Dyrnwyn Hilt Fragment,Ashlands,Materials,ItemCollected,DyrnwynHiltFragment,
item.dyrnwyntipfragment,Dyrnwyn Tip Fragment,Ashlands,Materials,ItemCollected,DyrnwynTipFragment,
item.ectoplasm,Ectoplasm,Global,Materials,ItemCollected,Ectoplasm,
item.eitr,Refined Eitr,Mistlands,Materials,ItemCollected,Eitr,
item.elderbark,Ancient Bark,Swamp,Materials,ItemCollected,ElderBark,
item.entrails,Entrails,Swamp,Materials,ItemCollected,Entrails,
item.eyescream,Eyescream,Mountain,Food,ItemCollected,Eyescream,
item.faderdrop,Fader Relic,Ashlands,Materials,ItemCollected,FaderDrop,
item.feastashlands,Ashlands Gourmet Bowl,Ashlands,Food,ItemCollected,FeastAshlands,
item.feastashlands_material,Ashlands Gourmet Bowl,Ashlands,Materials,ItemCollected,FeastAshlands_Material,
item.feastblackforest,Black Forest Buffet Platter,Swamp,Food,ItemCollected,FeastBlackforest,
item.feastblackforest_material,Black Forest Buffet Platter,Swamp,Materials,ItemCollected,FeastBlackforest_Material,
item.feaster,Serving Tray,Global,BogWitch,ItemCollected,Feaster,
item.feastmeadows,Whole Roasted Meadow Boar,Swamp,Food,ItemCollected,FeastMeadows,
item.feastmeadows_material,Whole Roasted Meadow Boar,Swamp,Materials,ItemCollected,FeastMeadows_Material,
item.feastmistlands,Mushrooms Galore  la Mistlands,Mistlands,Food,ItemCollected,FeastMistlands,
item.feastmistlands_material,Mushrooms Galore  la Mistlands,Mistlands,Materials,ItemCollected,FeastMistlands_Material,
item.feastmountains,Hearty Mountain Logger's Stew,Mountain,Food,ItemCollected,FeastMountains,
item.feastmountains_material,Hearty Mountain Logger's Stew,Mountain,Materials,ItemCollected,FeastMountains_Material,
item.feastoceans,Sailor's Bounty,Ocean,Food,ItemCollected,FeastOceans,
item.feastoceans_material,Sailor's Bounty,Ocean,Materials,ItemCollected,FeastOceans_Material,
item.feastplains,Plains Pie Picnic,Plains,Food,ItemCollected,FeastPlains,
item.feastplains_material,Plains Pie Picnic,Plains,Materials,ItemCollected,FeastPlains_Material,
item.feastswamps,Swamp Dweller's Delight,Swamp,Food,ItemCollected,FeastSwamps,
item.feastswamps_material,Swamp Dweller's Delight,Swamp,Materials,ItemCollected,FeastSwamps_Material,
item.feathers,Feathers,Global,Materials,ItemCollected,Feathers,
item.fiddleheadfern,Fiddlehead,Mistlands,Food,ItemCollected,Fiddleheadfern,
item.fierysvinstew,Fiery Svinstew,Ashlands,Food,ItemCollected,FierySvinstew,
item.finewood,Finewood,BlackForest,Materials,ItemCollected,FineWood,
item.fircone,Fir Cone,BlackForest,Materials,ItemCollected,FirCone,
item.fireworksrocket_blue,Blue Fireworks,Global,Materials,ItemCollected,FireworksRocket_Blue,
item.fireworksrocket_cyan,Cyan Fireworks,Global,Materials,ItemCollected,FireworksRocket_Cyan,
item.fireworksrocket_green,Green Fireworks,Global,Materials,ItemCollected,FireworksRocket_Green,
item.fireworksrocket_purple,Purple Fireworks,Global,Materials,ItemCollected,FireworksRocket_Purple,
item.fireworksrocket_red,Red Fireworks,Global,Materials,ItemCollected,FireworksRocket_Red,
item.fireworksrocket_white,Basic Fireworks,Global,Hildir,ItemCollected,FireworksRocket_White,
item.fireworksrocket_yellow,Yellow Fireworks,Global,Materials,ItemCollected,FireworksRocket_Yellow,
item.fish1,Perch,Ocean,Fishing,ItemCollected,Fish1,
item.fish10,Northern Salmon,Ocean,Fishing,ItemCollected,Fish10,
item.fish11,Magmafish,Ocean,Fishing,ItemCollected,Fish11,
item.fish12,Pufferfish,Ocean,Fishing,ItemCollected,Fish12,
item.fish2,Pike,Ocean,Fishing,ItemCollected,Fish2,
item.fish3,Tuna,Ocean,Fishing,ItemCollected,Fish3,
item.fish4_cave,Tetra,Ocean,Fishing,ItemCollected,Fish4_cave,
item.fish5,Trollfish,Ocean,Fishing,ItemCollected,Fish5,
item.fish6,Giant Herring,Ocean,Fishing,ItemCollected,Fish6,
item.fish7,Grouper,Ocean,Fishing,ItemCollected,Fish7,
item.fish8,Coral Cod,Ocean,Fishing,ItemCollected,Fish8,
item.fish9,Anglerfish,Ocean,Fishing,ItemCollected,Fish9,
item.fishandbread,Fish 'n' Bread,Ocean,Food,ItemCollected,FishAndBread,
item.fishandbreaduncooked,Uncooked Fish 'n' Bread,Ocean,Materials,ItemCollected,FishAndBreadUncooked,
item.fishanglerraw,Raw Fish,Ocean,Materials,ItemCollected,FishAnglerRaw,
item.fishcooked,Cooked Fish,Ocean,Food,ItemCollected,FishCooked,
item.fishingbait,Fishing Bait,Ocean,Haldor,ItemCollected,FishingBait,
item.fishingbaitashlands,Hot Fishing Bait,Ashlands,Materials,ItemCollected,FishingBaitAshlands,
item.fishingbaitcave,Cold Fishing Bait,Mountain,Materials,ItemCollected,FishingBaitCave,
item.fishingbaitdeepnorth,Frosty Fishing Bait,Ocean,Materials,ItemCollected,FishingBaitDeepNorth,
item.fishingbaitforest,Mossy Fishing Bait,Ocean,Materials,ItemCollected,FishingBaitForest,
item.fishingbaitmistlands,Misty Fishing Bait,Mistlands,Materials,ItemCollected,FishingBaitMistlands,
item.fishingbaitocean,Heavy Fishing Bait,Ocean,Materials,ItemCollected,FishingBaitOcean,
item.fishingbaitplains,Stingy Fishing Bait,Plains,Materials,ItemCollected,FishingBaitPlains,
item.fishingbaitswamp,Sticky Fishing Bait,Swamp,Materials,ItemCollected,FishingBaitSwamp,
item.fishingrod,Fishing Rod,Ocean,Haldor,ItemCollected,FishingRod,
item.fishraw,Raw Fish,Ocean,Materials,ItemCollected,FishRaw,
item.fishwraps,Fish Wraps,Ocean,Food,ItemCollected,FishWraps,
item.fistbjornclaw,Paws of the Bear,BlackForest,Weapons,ItemCollected,FistBjornClaw,
item.fistbjornundeadclaw,Vilebone Maulclaws,Plains,Weapons,ItemCollected,FistBjornUndeadClaw,
item.fistfenrirclaw,Flesh Rippers,Mountain,Weapons,ItemCollected,FistFenrirClaw,
item.flametalnew,Flametal,Ashlands,Materials,ItemCollected,FlametalNew,
item.flametalorenew,Flametal Ore,Ashlands,Materials,ItemCollected,FlametalOreNew,
item.flax,Flax,Plains,Materials,ItemCollected,Flax,
item.flint,Flint,Meadows,Materials,ItemCollected,Flint,
item.fragrantbundle,Fragrant Bundle,Plains,BogWitch,ItemCollected,FragrantBundle,
item.freezegland,Freeze Gland,Mountain,Materials,ItemCollected,FreezeGland,
item.freshseaweed,Fresh Seaweed,Global,BogWitch,ItemCollected,FreshSeaweed,
item.gemstoneblue,Iolite,Ashlands,Materials,ItemCollected,GemstoneBlue,
item.gemstonegreen,Jade,Ashlands,Materials,ItemCollected,GemstoneGreen,
item.gemstonered,Bloodstone,Ashlands,Materials,ItemCollected,GemstoneRed,
item.giantbloodsack,Blood Clot,Mistlands,Materials,ItemCollected,GiantBloodSack,
item.goblintotem,Fuling Totem,Plains,Items,ItemCollected,GoblinTotem,
item.grausten,Grausten,Ashlands,Materials,ItemCollected,Grausten,
item.greydwarfeye,Greydwarf Eye,BlackForest,Materials,ItemCollected,GreydwarfEye,
item.guck,Guck,Swamp,Materials,ItemCollected,Guck,
item.hammer,Hammer,Meadows,Tools,ItemCollected,Hammer,
item.hardantler,Hard Antler,Meadows,Materials,ItemCollected,HardAntler,
item.haremeat,Hare Meat,Mistlands,Materials,ItemCollected,HareMeat,
item.helmetashlandsmediumhood,Hood of Ask,Ashlands,Armor,ItemCollected,HelmetAshlandsMediumHood,
item.helmetberserkerhood,Headdress of the Bear,BlackForest,Armor,ItemCollected,HelmetBerserkerHood,
item.helmetberserkerundead,Vilebone Visage,Plains,Armor,ItemCollected,HelmetBerserkerUndead,
item.helmetbronze,Bronze Helmet,BlackForest,Armor,ItemCollected,HelmetBronze,
item.helmetcarapace,Carapace Helmet,Mistlands,Armor,ItemCollected,HelmetCarapace,
item.helmetcelebration,Celebratory Cap,Global,Armor,ItemCollected,HelmetCelebration,
item.helmetdrake,Drake Helmet,Mountain,Armor,ItemCollected,HelmetDrake,
