PrefabName,NameToken,ItemType,MaxStack,Weight,Biome,ChecklistCategory,IncludeInChecklist
ArmorRagsLegs,$item_legs_rags,Legs,1,2,Global,Armor,TRUE
ArmorRootChest,$item_chest_root,Chest,1,10,Swamp,Armor,TRUE
ArmorRootLegs,$item_legs_root,Legs,1,10,Swamp,Armor,TRUE
ArmorTrollLeatherChest,$item_chest_trollleather,Chest,1,5,BlackForest,Armor,TRUE
ArmorTrollLeatherLegs,$item_legs_trollleather,Legs,1,5,BlackForest,Armor,TRUE
ArmorTunic1,$item_chest_tunic1,Chest,1,10,Global,Armor,TRUE
ArmorTunic10,$item_chest_tunic10,Chest,1,10,Global,Armor,TRUE
ArmorTunic2,$item_chest_tunic2,Chest,1,10,Global,Armor,TRUE
ArmorTunic3,$item_chest_tunic3,Chest,1,10,Global,Armor,TRUE
ArmorTunic4,$item_chest_tunic4,Chest,1,10,Global,Armor,TRUE
ArmorTunic5,$item_chest_tunic5,Chest,1,10,Global,Armor,TRUE
ArmorTunic6,$item_chest_tunic6,Chest,1,10,Global,Armor,TRUE
ArmorTunic7,$item_chest_tunic7,Chest,1,10,Global,Armor,TRUE
ArmorTunic8,$item_chest_tunic8,Chest,1,10,Global,Armor,TRUE
ArmorTunic9,$item_chest_tunic9,Chest,1,10,Global,Armor,TRUE
ArmorWolfChest,$item_chest_wolf,Chest,1,15,Global,Armor,TRUE
ArmorWolfLegs,$item_legs_wolf,Legs,1,15,Global,Armor,TRUE
ArrowBronze,$item_arrow_bronze,Ammo,100,0.1,BlackForest,Weapons,TRUE
ArrowCarapace,$item_arrow_carapace,Ammo,100,0.1,Mistlands,Weapons,TRUE
ArrowCharred,$item_arrow_charred,Ammo,100,0.1,Ashlands,Weapons,TRUE
ArrowFire,$item_arrow_fire,Ammo,100,0.1,Meadows,Weapons,TRUE
ArrowFlint,$item_arrow_flint,Ammo,100,0.1,Meadows,Weapons,TRUE
ArrowFrost,$item_arrow_frost,Ammo,100,0.1,Mountain,Weapons,TRUE
ArrowIron,$item_arrow_iron,Ammo,100,0.1,Swamp,Weapons,TRUE
ArrowNeedle,$item_arrow_needle,Ammo,100,0.1,Plains,Weapons,TRUE
ArrowObsidian,$item_arrow_obsidian,Ammo,100,0.1,Mountain,Weapons,TRUE
ArrowPoison,$item_arrow_poison,Ammo,100,0.1,Mountain,Weapons,TRUE
ArrowSilver,$item_arrow_silver,Ammo,100,0.1,Mountain,Weapons,TRUE
ArrowWood,$item_arrow_wood,Ammo,100,0.1,Meadows,Weapons,TRUE
AskBladder,$item_askbladder,Material,50,0.5,Ashlands,Materials,TRUE
AskHide,$item_askhide,Material,50,1,Ashlands,Materials,TRUE
AsksvinCarrionNeck,$item_asksvincarrionneck,Material,50,2,Ashlands,Materials,TRUE
AsksvinCarrionPelvic,$item_asksvincarrionpelvic,Material,50,2,Ashlands,Materials,TRUE
AsksvinCarrionRibcage,$item_asksvincarrionribcage,Material,50,5,Ashlands,Materials,TRUE
AsksvinCarrionSkull,$item_asksvincarrionskull,Material,50,2,Ashlands,Materials,TRUE
AsksvinEgg,$item_asksvin_egg,Misc,20,1,Ashlands,Items,TRUE
AsksvinMeat,$item_asksvin_meat,Material,20,1,Ashlands,Materials,TRUE
AtgeirBlackmetal,$item_atgeir_blackmetal,TwoHandedWeapon,1,2.5,Plains,Weapons,TRUE
AtgeirBronze,$item_atgeir_bronze,TwoHandedWeapon,1,2.5,BlackForest,Weapons,TRUE
AtgeirHimminAfl,$item_atgeir_himminafl,TwoHandedWeapon,1,2.5,Mistlands,Weapons,TRUE
AtgeirIron,$item_atgeir_iron,TwoHandedWeapon,1,2.5,Swamp,Weapons,TRUE
AtgeirWood,$item_atgeir_wood,TwoHandedWeapon,1,2.5,Meadows,Weapons,TRUE
AxeBerzerkr,$item_axe_berzerkr,TwoHandedWeapon,1,2,Ashlands,Weapons,TRUE
AxeBerzerkrBlood,$item_axe_berzerkr_blood,TwoHandedWeapon,1,2,Ashlands,Weapons,TRUE
AxeBerzerkrLightning,$item_axe_berzerkr_lightning,TwoHandedWeapon,1,2,Ashlands,Weapons,TRUE
AxeBerzerkrNature,$item_axe_berzerkr_nature,TwoHandedWeapon,1,2,Ashlands,Weapons,TRUE
AxeBlackMetal,$item_axe_blackmetal,OneHandedWeapon,1,2,Plains,Weapons,TRUE
AxeBronze,$item_axe_bronze,OneHandedWeapon,1,2,BlackForest,Weapons,TRUE
AxeEarly,$item_axe_early,TwoHandedWeapon,1,2,Meadows,Weapons,TRUE
AxeFlint,$item_axe_flint,OneHandedWeapon,1,1.5,Meadows,Weapons,TRUE
AxeHead1,$item_axehead1,Material,10,2,Meadows,Materials,TRUE
AxeHead2,$item_axehead2,Material,10,2,Meadows,Materials,TRUE
AxeIron,$item_axe_iron,OneHandedWeapon,1,2,Swamp,Weapons,TRUE
AxeJotunBane,$item_axe_jotunbane,OneHandedWeapon,1,2,Mistlands,Weapons,TRUE
AxeStone,$item_axe_stone,OneHandedWeapon,1,1.5,Meadows,Weapons,TRUE
AxeWood,$item_axe_wood,OneHandedWeapon,1,2,Meadows,Weapons,TRUE
BarberKit,$item_barberkit,Misc,1,2,Global,Items,TRUE
Barley,$item_barley,Material,100,0.2,Plains,Materials,TRUE
BarleyFlour,$item_barleyflour,Misc,50,0.2,Plains,Items,TRUE
BarleyWine,$item_barleywine,Consumable,10,1,Plains,Food,TRUE
BarleyWineBase,$item_barleywinebase,Material,1,1,Plains,Materials,TRUE
BarrelRings,$item_barrelrings,Misc,20,2,Global,Items,TRUE
Battleaxe,$item_battleaxe,TwoHandedWeapon,1,2.5,Swamp,Weapons,TRUE
BattleaxeBlackmetal,$item_battleaxe_blackmetal,TwoHandedWeapon,1,2.5,Plains,Weapons,TRUE
BattleaxeCrystal,$item_battleaxe_crystal,TwoHandedWeapon,1,2.5,Mountain,Weapons,TRUE
BattleaxeSkullSplittur,$item_battleaxe_skullsplittur,TwoHandedWeapon,1,2.5,Mistlands,Weapons,TRUE
BattleaxeWood,$item_battleaxe_wood,TwoHandedWeapon,1,2.5,Meadows,Weapons,TRUE
BeechSeeds,$item_beechseeds,Material,100,0.1,Meadows,Materials,TRUE
Bell,$item_bell,Misc,9,0.5,Mistlands,Items,TRUE
BellFragment,$item_bellfragment,Material,9,0.5,Ashlands,Materials,TRUE
BeltStrength,$item_beltstrength,Utility,1,2,Global,Tools,TRUE
Bilebag,$item_bilebag,Material,50,0.5,Mistlands,Materials,TRUE
BirchSeeds,$item_birchseeds,Material,100,0.1,BlackForest,Materials,TRUE
BjornHide,$item_bjornhide,Material,50,1,BlackForest,Materials,TRUE
BjornMeat,$item_bjorn_meat,Material,20,1,BlackForest,Materials,TRUE
BjornPaw,$item_bjornpaw,Material,50,0.5,BlackForest,Materials,TRUE
BlackCore,$item_blackcore,Material,20,1,Mistlands,Materials,TRUE
BlackMarble,$item_blackmarble,Material,50,2,Mistlands,Materials,TRUE
BlackMetal,$item_blackmetal,Material,30,12,Plains,Materials,TRUE
BlackMetalScrap,$item_blackmetalscrap,Material,30,10,Plains,Materials,TRUE
BlackSoup,$item_blacksoup,Consumable,10,1,Swamp,Food,TRUE
Blackwood,$item_blackwood,Material,50,2,Ashlands,Materials,TRUE
BlobVial,$item_blobvial,Material,10,1,Swamp,Materials,TRUE
Bloodbag,$item_bloodbag,Material,50,0.5,Swamp,Materials,TRUE
BloodPudding,$item_bloodpudding,Consumable,10,1,Plains,Food,TRUE
Blueberries,$item_blueberries,Consumable,50,0.1,BlackForest,Food,TRUE
BoarJerky,$item_boarjerky,Consumable,20,0.5,Meadows,Food,TRUE
BoltBlackmetal,$item_bolt_blackmetal,Ammo,100,0.1,Plains,Weapons,TRUE
BoltBone,$item_bolt_bone,Ammo,100,0.1,Mistlands,Weapons,TRUE
BoltCarapace,$item_bolt_carapace,Ammo,100,0.1,Mistlands,Weapons,TRUE
BoltCharred,$item_bolt_charred,Ammo,100,0.1,Ashlands,Weapons,TRUE
BoltIron,$item_bolt_iron,Ammo,100,0.1,Swamp,Weapons,TRUE
BombBile,$item_bilebomb,OneHandedWeapon,50,0.3,Mistlands,Weapons,TRUE
BombBlob_Frost,$item_bombblob_frost,OneHandedWeapon,50,0.3,Mountain,Weapons,TRUE
BombBlob_Lava,$item_bombblob_lava,OneHandedWeapon,50,0.3,Ashlands,Weapons,TRUE
BombBlob_Poison,$item_bombblob_poison,OneHandedWeapon,50,0.3,Swamp,Weapons,TRUE
BombBlob_PoisonElite,$item_bombblob_poisonelite,OneHandedWeapon,50,0.3,Swamp,Weapons,TRUE
BombBlob_Tar,$item_bombblob_tar,OneHandedWeapon,50,0.3,Plains,Weapons,TRUE
BombLava,$item_lavabomb,OneHandedWeapon,50,0.3,Ashlands,Weapons,TRUE
BombOoze,$item_oozebomb,OneHandedWeapon,50,0.3,Swamp,Weapons,TRUE
BombSiege,$item_catapult_ammo,Material,50,0.3,Ashlands,Materials,TRUE
BombSmoke,$item_smokebomb,OneHandedWeapon,50,0.3,Ashlands,Weapons,TRUE
BoneFragments,$item_bonefragments,Material,50,0.5,Meadows,Materials,TRUE
BoneMawSerpentMeat,$item_bonemawmeat,Material,50,10,Ashlands,Materials,TRUE
BonemawSerpentScale,$item_bonemawscale,Material,50,2,Ashlands,Materials,TRUE
BonemawSerpentTooth,$item_bonemawtooth,Material,50,2,Ashlands,Materials,TRUE
Bow,$item_bow,Bow,1,1.5,Meadows,Weapons,TRUE
BowAshlands,$item_bow_ashlands,Bow,1,1.5,Ashlands,Weapons,TRUE
BowAshlandsBlood,$item_bow_ashlandsblood,Bow,1,1.5,Ashlands,Weapons,TRUE
BowAshlandsRoot,$item_bow_ashlandsroot,Bow,1,1.5,Ashlands,Weapons,TRUE
BowAshlandsStorm,$item_bow_ashlandsstorm,Bow,1,1.5,Ashlands,Weapons,TRUE
BowDraugrFang,$item_bow_draugrfang,Bow,1,1.5,Swamp,Weapons,TRUE
BowFineWood,$item_bow_finewood,Bow,1,1.5,Meadows,Weapons,TRUE
BowHuntsman,$item_bow_huntsman,Bow,1,1.5,Swamp,Weapons,TRUE
BowSpineSnap,$item_bow_snipesnap,Bow,1,1.5,Mistlands,Weapons,TRUE
Bread,$item_bread,Consumable,20,0.5,Plains,Food,TRUE
BreadDough,$item_breaddough,Material,20,0.5,Plains,Materials,TRUE
Bronze,$item_bronze,Material,30,12,BlackForest,Materials,TRUE
BronzeNails,$item_bronzenails,Material,100,0.5,BlackForest,Materials,TRUE
BronzeScrap,$item_bronzescrap,Material,30,10,BlackForest,Materials,TRUE
BugMeat,$item_bug_meat,Material,20,1,Mistlands,Materials,TRUE
CandleWick,$item_candlewick,Material,50,0.3,Ashlands,Materials,TRUE
CapeAsh,$item_cape_ash,Shoulder,1,4,Ashlands,Armor,TRUE
CapeAsksvin,$item_cape_asksvin,Shoulder,1,4,Ashlands,Armor,TRUE
CapeDeerHide,$item_cape_deerhide,Shoulder,1,4,Meadows,Armor,TRUE
CapeFeather,$item_cape_feather,Shoulder,1,4,Mistlands,Armor,TRUE
CapeLinen,$item_cape_linen,Shoulder,1,4,Plains,Armor,TRUE
CapeLox,$item_cape_lox,Shoulder,1,4,Plains,Armor,TRUE
CapeOdin,$item_cape_odin,Shoulder,1,4,Global,Armor,FALSE
CapeTrollHide,$item_cape_trollhide,Shoulder,1,4,BlackForest,Armor,TRUE
CapeWolf,$item_cape_wolf,Shoulder,1,4,Mountain,Armor,TRUE
Carapace,$item_carapace,Material,50,2,Mistlands,Materials,TRUE
Carrot,$item_carrot,Consumable,50,0.3,BlackForest,Food,TRUE
CarrotSeeds,$item_carrotseeds,Material,100,0.1,BlackForest,Materials,TRUE
CarrotSoup,$item_carrotsoup,Consumable,10,1,BlackForest,Food,TRUE
Catapult_ammo,$item_catapult_training_ammo,Material,50,0.3,Ashlands,Materials,TRUE
CelestialFeather,$item_celestialfeather,Material,50,0.5,Ashlands,Materials,TRUE
CeramicPlate,$item_ceramicplate,Material,30,2,Ashlands,Materials,TRUE
Chain,$item_chain,Material,50,2,Swamp,Materials,TRUE
CharcoalResin,$item_charcoalresin,Material,50,0.3,Ashlands,Materials,TRUE
CharredBone,$item_charredbone,Material,50,0.5,Ashlands,Materials,TRUE
CharredCogwheel,$item_charredcogwheel,Material,10,5,Ashlands,Materials,TRUE
Charredskull,$item_charredskull,Material,50,2,Ashlands,Materials,TRUE
chest_hildir1,$item_chest_hildir1,Misc,1,200,Global,Items,FALSE
chest_hildir2,$item_chest_hildir2,Misc,1,200,Global,Items,FALSE
chest_hildir3,$item_chest_hildir3,Misc,1,200,Global,Items,FALSE
ChickenEgg,$item_chicken_egg,Misc,20,1,Plains,Items,TRUE
ChickenMeat,$item_chicken_meat,Material,20,1,Plains,Materials,TRUE
Chitin,$item_chitin,Material,50,2,Ocean,Materials,TRUE
Cloudberry,$item_cloudberries,Consumable,50,0.1,Plains,Food,TRUE
Club,$item_club,OneHandedWeapon,1,2,Meadows,Weapons,TRUE
Coal,$item_coal,Material,50,2,Global,Materials,TRUE
Coins,$item_coins,Material,999,0.1,Global,Materials,TRUE
CookedAsksvinMeat,$item_asksvin_meat_cooked,Consumable,20,1,Ashlands,Food,TRUE
CookedBjornMeat,$item_bjorn_meat_cooked,Consumable,20,1,BlackForest,Food,TRUE
CookedBoneMawSerpentMeat,$item_bonemawmeat_cooked,Consumable,50,10,Ashlands,Food,TRUE
CookedBugMeat,$item_bug_meat_cooked,Consumable,20,1,Mistlands,Food,TRUE
CookedChickenMeat,$item_chicken_meat_cooked,Consumable,20,1,Plains,Food,TRUE
CookedDeerMeat,$item_deer_meat_cooked,Consumable,20,1,Meadows,Food,TRUE
CookedEgg,$item_egg_cooked,Consumable,20,1,Mistlands,Food,TRUE
CookedHareMeat,$item_hare_meat_cooked,Consumable,20,1,Mistlands,Food,TRUE
CookedLoxMeat,$item_loxmeat_cooked,Consumable,20,2,Plains,Food,TRUE
CookedMeat,$item_boar_meat_cooked,Consumable,20,1,Meadows,Food,TRUE
CookedVoltureMeat,$item_volture_meat_cooked,Consumable,20,1,Ashlands,Food,TRUE
CookedWolfMeat,$item_wolf_meat_cooked,Consumable,20,1,Mountain,Food,TRUE
Copper,$item_copper,Material,30,12,BlackForest,Materials,TRUE
CopperOre,$item_copperore,Material,30,10,BlackForest,Materials,TRUE
CopperScrap,$item_copperscrap,Material,30,10,BlackForest,Materials,TRUE
CrossbowArbalest,$item_crossbow_arbalest,Bow,1,1.5,Mistlands,Weapons,TRUE
CrossbowRipper,$item_crossbow_ripper,Bow,1,1.5,Ashlands,Weapons,TRUE
CrossbowRipperBlood,$item_crossbow_ripper_blood,Bow,1,1.5,Ashlands,Weapons,TRUE
CrossbowRipperLightning,$item_crossbow_ripper_lightning,Bow,1,1.5,Ashlands,Weapons,TRUE
CrossbowRipperNature,$item_crossbow_ripper_nature,Bow,1,1.5,Ashlands,Weapons,TRUE
CryptKey,$item_cryptkey,Misc,1,0.1,Swamp,Items,TRUE
Crystal,$item_crystal,Material,50,1,Mountain,Materials,TRUE
Cultivator,$item_cultivator,Tool,1,2,BlackForest,Tools,TRUE
CuredSquirrelHamstring,$item_curedsquirrelhamstring,Material,50,0.5,Global,Materials,TRUE
Dandelion,$item_dandelion,Material,50,0.1,Meadows,Materials,TRUE
DeerHide,$item_deerhide,Material,50,1,Meadows,Materials,TRUE
DeerMeat,$item_deer_meat,Material,20,1,Meadows,Materials,TRUE
DeerStew,$item_deerstew,Consumable,10,1,Meadows,Food,TRUE
Demister,$item_demister,Utility,1,0.1,Mistlands,Tools,TRUE
DragonEgg,$item_dragonegg,Misc,1,200,Mountain,Items,TRUE
DragonTear,$item_dragontear,Misc,50,1,Mountain,Items,TRUE
DvergerArbalest,$item_crossbow_arbalest,Utility,1,1.5,Mistlands,Tools,FALSE
DvergrKey,$item_dvergrkey,Misc,1,0.5,Mistlands,Items,TRUE
DvergrKeyFragment,$item_dvergrkeyfragment,Material,9,0.5,Mistlands,Materials,TRUE
DvergrNeedle,$item_dvergrneedle,Material,10,5,Mistlands,Materials,TRUE
DyrnwynBladeFragment,$item_Dyrnwyn_blade,Material,1,0.5,Meadows,Materials,TRUE
DyrnwynHiltFragment,$item_Dyrnwyn_hilt,Material,1,0.5,Meadows,Materials,TRUE
DyrnwynTipFragment,$item_Dyrnwyn_tip,Material,1,0.5,Meadows,Materials,TRUE
Ectoplasm,$item_ectoplasm,Material,50,2,Global,Materials,TRUE
Eitr,$item_eitr,Material,30,5,Mistlands,Materials,TRUE
ElderBark,$item_elderbark,Material,50,2,Swamp,Materials,TRUE
Entrails,$item_entrails,Material,50,0.5,Swamp,Materials,TRUE
Eyescream,$item_eyescream,Consumable,10,0.5,Mountain,Food,TRUE
FaderDrop,$item_fader_drop,Material,30,1,Ashlands,Materials,TRUE
FeastAshlands,$item_feastashlands,Consumable,1,1,Ashlands,Food,TRUE
FeastAshlands_Material,$item_feastashlands,Material,5,10,Ashlands,Materials,TRUE
FeastBlackforest,$item_feastblackforest,Consumable,1,1,BlackForest,Food,TRUE
FeastBlackforest_Material,$item_feastblackforest,Material,5,10,BlackForest,Materials,TRUE
Feaster,$item_feaster,Tool,1,2,Global,Tools,TRUE
FeastMeadows,$item_feastmeadows,Consumable,1,1,Meadows,Food,TRUE
FeastMeadows_Material,$item_feastmeadows,Material,5,10,Meadows,Materials,TRUE
FeastMistlands,$item_feastmistlands,Consumable,1,1,Mistlands,Food,TRUE
FeastMistlands_Material,$item_feastmistlands,Material,5,10,Mistlands,Materials,TRUE
FeastMountains,$item_feastmountains,Consumable,1,1,Mountain,Food,TRUE
FeastMountains_Material,$item_feastmountains,Material,5,10,Mountain,Materials,TRUE
FeastOceans,$item_feastoceans,Consumable,1,1,Ocean,Food,TRUE
FeastOceans_Material,$item_feastoceans,Material,5,10,Ocean,Materials,TRUE
FeastPlains,$item_feastplains,Consumable,1,1,Plains,Food,TRUE
FeastPlains_Material,$item_feastplains,Material,5,10,Plains,Materials,TRUE
FeastSwamps,$item_feastswamps,Consumable,1,1,Swamp,Food,TRUE
FeastSwamps_Material,$item_feastswamps,Material,5,10,Swamp,Materials,TRUE
Feathers,$item_feathers,Material,50,0.1,Global,Materials,TRUE
Fiddleheadfern,$item_fiddleheadfern,Consumable,50,0.1,Mistlands,Food,TRUE
FierySvinstew,$item_fierysvinstew,Consumable,10,1,Ashlands,Food,TRUE
FineWood,$item_finewood,Material,50,2,Ashlands,Materials,TRUE
FirCone,$item_fircone,Material,100,0.1,BlackForest,Materials,TRUE
FireworksRocket_Blue,$item_fireworkrocket_blue,Material,10,0.5,Global,Materials,TRUE
FireworksRocket_Cyan,$item_fireworkrocket_cyan,Material,10,0.5,Global,Materials,TRUE
FireworksRocket_Green,$item_fireworkrocket_green,Material,10,0.5,Global,Materials,TRUE
FireworksRocket_Purple,$item_fireworkrocket_purple,Material,10,0.5,Global,Materials,TRUE
FireworksRocket_Red,$item_fireworkrocket_red,Material,10,0.5,Global,Materials,TRUE
FireworksRocket_White,$item_fireworkrocket_white,Material,10,0.5,Global,Materials,TRUE
FireworksRocket_Yellow,$item_fireworkrocket_yellow,Material,10,0.5,Global,Materials,TRUE
Fish1,$animal_fish1,Fish,10,2,Ocean,Fishing,TRUE
Fish10,$animal_fish10,Fish,10,2,Ocean,Fishing,TRUE
Fish11,$animal_fish11,Fish,10,2,Ocean,Fishing,TRUE
Fish12,$animal_fish12,Fish,10,2,Ocean,Fishing,TRUE
Fish2,$animal_fish2,Fish,10,2,Ocean,Fishing,TRUE
Fish3,$animal_fish3,Fish,10,2,Ocean,Fishing,TRUE
Fish4_cave,$animal_fish4,Fish,10,2,Ocean,Fishing,TRUE
Fish5,$animal_fish5,Fish,10,2,Ocean,Fishing,TRUE
Fish6,$animal_fish6,Fish,10,2,Ocean,Fishing,TRUE
Fish7,$animal_fish7,Fish,10,2,Ocean,Fishing,TRUE
Fish8,$animal_fish8,Fish,10,2,Ocean,Fishing,TRUE
Fish9,$animal_fish9,Fish,10,2,Ocean,Fishing,TRUE
FishAndBread,$item_fishandbread,Consumable,10,1,Ocean,Food,TRUE
FishAndBreadUncooked,$item_fishandbreaduncooked,Material,10,1,Ocean,Materials,TRUE
FishAnglerRaw,$item_fish_raw,Material,20,0.5,Ocean,Materials,TRUE
FishCooked,$item_fish_cooked,Consumable,20,0.5,Ocean,Food,TRUE
FishingBait,$item_fishingbait,Ammo,100,0.1,Ocean,Weapons,TRUE
FishingBaitAshlands,$item_fishingbait_ashlands,Ammo,100,0.1,Ashlands,Weapons,TRUE
FishingBaitCave,$item_fishingbait_cave,Ammo,100,0.1,Mountain,Weapons,TRUE
FishingBaitDeepNorth,$item_fishingbait_deepnorth,Ammo,100,0.1,Ocean,Weapons,TRUE
FishingBaitForest,$item_fishingbait_forest,Ammo,100,0.1,Ocean,Weapons,TRUE
FishingBaitMistlands,$item_fishingbait_mistlands,Ammo,100,0.1,Mistlands,Weapons,TRUE
FishingBaitOcean,$item_fishingbait_ocean,Ammo,100,0.1,Ocean,Weapons,TRUE
FishingBaitPlains,$item_fishingbait_plains,Ammo,100,0.1,Plains,Weapons,TRUE
FishingBaitSwamp,$item_fishingbait_swamp,Ammo,100,0.1,Swamp,Weapons,TRUE
FishingRod,$item_fishingrod,TwoHandedWeapon,1,1.5,Ocean,Weapons,TRUE
FishRaw,$item_fish_raw,Material,20,0.5,Ocean,Materials,TRUE
FishWraps,$item_fishwraps,Consumable,10,1,Ocean,Food,TRUE
FistBjornClaw,$item_fistweapon_bjorn,TwoHandedWeapon,1,2,BlackForest,Weapons,TRUE
FistBjornUndeadClaw,$item_fistweapon_bjorn_undead,TwoHandedWeapon,1,2,BlackForest,Weapons,TRUE
FistFenrirClaw,$item_fistweapon_fenris,TwoHandedWeapon,1,2,Mountain,Weapons,TRUE
Flametal,$item_flametal_old,Material,30,12,Ashlands,Materials,TRUE
FlametalNew,$item_flametal,Material,30,12,Ashlands,Materials,TRUE
FlametalOre,$item_flametalore_old,Material,30,12,Ashlands,Materials,TRUE
FlametalOreNew,$item_flametalore,Material,30,10,Ashlands,Materials,TRUE
Flax,$item_flax,Material,100,0.2,Plains,Materials,TRUE
Flint,$item_flint,Material,30,2,Meadows,Materials,TRUE
FragrantBundle,$item_fragrantbundle,Material,50,0.5,Meadows,Materials,TRUE
FreezeGland,$item_freezegland,Material,50,0.5,Mountain,Materials,TRUE
FreshSeaweed,$item_freshseaweed,Material,50,0.5,Global,Materials,TRUE
GemstoneBlue,$item_gemstone_blue,Material,50,2,Meadows,Materials,TRUE
GemstoneGreen,$item_gemstone_green,Material,50,2,Meadows,Materials,TRUE
GemstoneRed,$item_gemstone_red,Material,50,2,Meadows,Materials,TRUE
GiantBloodSack,$item_bloodclot,Material,50,0.5,Mistlands,Materials,TRUE
GoblinTotem,$item_goblintotem,Misc,30,1,Plains,Items,TRUE
Grausten,$item_grausten,Material,50,2,Ashlands,Materials,TRUE
GreydwarfEye,$item_greydwarfeye,Material,50,0.2,BlackForest,Materials,TRUE
Guck,$item_guck,Material,50,0.5,Swamp,Materials,TRUE
Hammer,$item_hammer,Tool,1,2,Meadows,Tools,TRUE
HardAntler,$item_hardantler,Material,50,2,Meadows,Materials,TRUE
HareMeat,$item_hare_meat,Material,20,1,Mistlands,Materials,TRUE
HelmetAshlandsMediumHood,$item_helmet_medium_ashlands,Helmet,1,1,Ashlands,Armor,TRUE
HelmetBerserkerHood,$item_helmet_berserker,Helmet,1,1,BlackForest,Armor,TRUE
HelmetBerserkerUndead,$item_helmet_berserker_undead,Helmet,1,1,BlackForest,Armor,TRUE
HelmetBronze,$item_helmet_bronze,Helmet,1,3,BlackForest,Armor,TRUE
HelmetCarapace,$item_helmet_carapace,Helmet,1,3,Mistlands,Armor,TRUE
HelmetCelebration,$item_helmet_celebration,Helmet,1,3,Global,Armor,TRUE
HelmetDrake,$item_helmet_drake,Helmet,1,3,Mountain,Armor,TRUE
HelmetDverger,$item_helmet_dverger,Helmet,1,1,Global,Armor,TRUE
HelmetFenring,$item_helmet_fenris,Helmet,1,1,Mountain,Armor,TRUE
HelmetFishingHat,$item_helmet_fishinghat,Helmet,1,3,Ocean,Armor,TRUE
